Champion,Patch
Alistar,6.6
Alistar,6.3
Alistar,6.22
Alistar,6.10
Alistar,5.22
Alistar,5.16
Alistar,5.1
Alistar,4.5
Alistar,4.15
Alistar,4.12
Alistar,10.6
Alistar,10.5
Amumu,9.8
Amumu,9.24
Amumu,9.12
Amumu,9.11
Amumu,8.9
Amumu,8.4
Amumu,8.3
Amumu,8.24
Amumu,8.16
Amumu,7.9
Amumu,7.8
Amumu,7.7
Amumu,7.24
Amumu,7.22
Amumu,7.2
Amumu,7.14
Amumu,6.7
Amumu,5.6
Amumu,5.16
Amumu,4.5
Amumu,4.20
Amumu,4.16
Amumu,3.03
Amumu,10.5
Amumu,10.4
Anivia,9.6
Anivia,9.5
Anivia,9.4
Anivia,8.9
Anivia,8.3
Anivia,8.24
Anivia,8.2
Anivia,8.11
Anivia,7.9
Anivia,7.6
Anivia,7.5
Anivia,7.4
Anivia,7.22
Anivia,7.2
Anivia,7.14
Anivia,7.1
Anivia,6.9
Anivia,6.23
Anivia,6.22
Anivia,6.19
Anivia,6.11
Anivia,6.10
Anivia,5.24
Anivia,5.22
Anivia,5.18
Anivia,5.12
Anivia,4.5
Anivia,4.19
Anivia,4.18
Anivia,4.13
Anivia,4.1
Anivia,3.5
Anivia,3.15
Anivia,3.02
Anivia,3.01
Anivia,10.6
Anivia,10.4
Annie,9.6
Annie,9.19
Annie,9.18
Annie,8.9
Annie,8.3
Annie,8.2
Annie,8.17
Annie,7.9
Annie,7.22
Annie,7.15
Annie,6.9
Annie,6.8
Annie,6.7
Annie,6.17
Annie,6.16
Annie,6.15
Annie,6.14
Annie,6.10
Annie,5.9
Annie,5.6
Annie,5.21
Annie,5.2
Annie,4.5
Annie,4.4
Annie,4.13
Annie,4.1
Annie,3.8
Annie,3.01
Annie,10.3
Aphelios,9.24
Aphelios,10.6
Aphelios,10.4
Aphelios,10.3
Aphelios,10.2
Aphelios,10.1
Ashe,9.9
Ashe,9.6
Ashe,9.22
Ashe,9.21
Ashe,9.20
Ashe,9.19
Ashe,9.12
Ashe,9.1
Ashe,8.3
Ashe,8.21
Ashe,8.2
Ashe,8.11
Ashe,8.1
Ashe,7.9
Ashe,7.5
Ashe,7.23
Ashe,7.22
Ashe,7.14
Ashe,6.4
Ashe,6.21
Ashe,6.20
Ashe,6.18
Ashe,6.17
Ashe,5.9
Ashe,5.24
Ashe,5.23
Ashe,5.22
Ashe,5.12
Ashe,5.11
Ashe,4.5
Ashe,4.2
Ashe,4.17
Ashe,3.8
Ashe,3.5
Ashe,3.13
Ashe,3.10
Ashe,3.03
Ashe,3.02
Ashe,10.6
AurelionSol,9.21
AurelionSol,9.2
AurelionSol,9.18
AurelionSol,9.17
AurelionSol,9.14
AurelionSol,8.8
AurelionSol,8.21
AurelionSol,8.2
AurelionSol,8.11
AurelionSol,7.9
AurelionSol,7.24
AurelionSol,7.22
AurelionSol,7.19
AurelionSol,7.13
AurelionSol,6.7
AurelionSol,6.6
AurelionSol,6.19
AurelionSol,6.18
AurelionSol,6.11
AurelionSol,6.10
AurelionSol,10.4
AurelionSol,10.1
Azir,9.7
Azir,9.4
Azir,9.16
Azir,9.14
Azir,8.9
Azir,8.8
Azir,8.5
Azir,8.3
Azir,8.22
Azir,7.9
Azir,7.3
Azir,7.24b
Azir,7.23
Azir,7.22
Azir,7.21
Azir,7.20
Azir,7.2
Azir,7.19
Azir,7.18
Azir,7.15
Azir,7.11
Azir,6.6
Azir,6.5
Azir,6.24
Azir,6.16
Azir,6.14
Azir,6.11
Azir,5.5
Azir,5.4
Azir,5.3
Azir,5.24
Azir,5.23
Azir,5.22
Azir,5.20
Azir,5.2
Azir,5.18
Azir,5.17
Azir,5.16
Azir,5.14
Azir,5.1
Azir,4.21
Azir,4.20
Azir,4.19
Azir,4.18
Azir,4.16
Azir,10.7
Azir,10.5
Azir,10.3
Azir,10.1
Bard,9.18
Bard,9.14
Bard,8.7
Bard,8.17
Bard,8.10
Bard,7.9
Bard,7.7
Bard,7.4
Bard,7.24
Bard,7.22
Bard,7.15
Bard,7.1
Bard,6.7
Bard,6.24
Bard,6.14
Bard,6.12
Bard,6.1
Bard,5.8
Bard,5.7
Bard,5.6
Bard,5.5
Bard,5.24
Bard,5.17
Bard,5.16
Bard,10.5
Blitzcrank,9.9
Blitzcrank,9.22
Blitzcrank,9.20
Blitzcrank,9.19
Blitzcrank,9.14
Blitzcrank,8.8
Blitzcrank,8.3
Blitzcrank,7.3
Blitzcrank,7.23
Blitzcrank,7.22
Blitzcrank,7.2
Blitzcrank,6.7
Blitzcrank,6.13
Blitzcrank,5.8
Blitzcrank,5.7
Blitzcrank,5.22
Blitzcrank,5.16
Blitzcrank,4.8
Blitzcrank,4.5
Blitzcrank,4.19
Blitzcrank,4.18
Blitzcrank,4.13
Blitzcrank,3.01
Blitzcrank,10.6
Blitzcrank,10.5
Brand,9.7
Brand,9.5
Brand,9.2
Brand,9.10
Brand,9.1
Brand,8.9
Brand,8.3
Brand,8.2
Brand,8.1
Brand,7.9
Brand,7.5
Brand,7.22
Brand,7.20
Brand,7.18
Brand,7.15
Brand,6.9
Brand,6.3
Brand,6.24
Brand,6.1
Brand,5.24
Brand,5.22
Brand,5.20
Brand,5.11
Brand,4.5
Brand,4.18
Brand,4.16
Brand,3.9
Brand,3.6
Brand,3.15
Brand,10.6
Braum,9.7
Braum,9.24
Braum,9.1
Braum,8.8
Braum,8.3
Braum,8.2
Braum,8.18
Braum,7.7
Braum,7.24
Braum,7.22
Braum,7.16
Braum,7.1
Braum,6.21
Braum,6.16
Braum,6.15
Braum,6.14
Braum,5.18
Braum,5.16
Braum,5.12
