"Champion","Name","Erscheinungsdatum","TagDate","BannrateNachher","BannrateVorher","BeliebtheitNachher","BeliebtheitVorher","GewinnrateNachher","GewinnrateVorher","DeltaBannrate","DeltaBeliebtheit","DeltaGewinnrate"
"Alistar","Matador","11-May-2010",14740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alistar","Longhorn","16-Feb-2011",15021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alistar","Sweeper","18-Jun-2014",16239,0.0017,0.0024,0.0556,0.0544,0.4304,0.4344,-7e-04,0.0012,-0.004
"Alistar","SKT T1","17-Aug-2016",17030,0.0258,0.0325,0.1045,0.1014,0.489,0.4823,-0.0067,0.00309999999999999,0.00669999999999998
"Alistar","Conqueror","30-Apr-2019",18016,0.0249,0.0428,0.0449,0.0636,0.4701,0.466,-0.0179,-0.0187,0.00409999999999999
"Alistar","Black","13-Jun-2009",14408,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alistar","Unchained","22-Sep-2011",15239,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alistar","Hextech","26-Mar-2018",17616,0.1224,0.1759,0.1139,0.1436,0.4956,0.5061,-0.0535,-0.0297,-0.0105
"Amumu","Original","25-Jun-2009",14420,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amumu","Emumu","01-Aug-2010",14822,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amumu","Little Knight","18-Jul-2011",15173,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amumu","Sad Robot","28-May-2012",15488,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amumu","Surprise Party","31-Mar-2015",16525,0.0227,0.0029,0.1196,0.0696,0.5233,0.4929,0.0198,0.05,0.0304
"Amumu","Infernal","16-Oct-2018",17820,0.004,0.0044,0.027,0.0236,0.5087,0.5103,-4e-04,0.0034,-0.00159999999999993
"Amumu","Pharaoh","02-Feb-2010",14642,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amumu","Vancouver","12-Feb-2010",14652,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amumu","Re-Gifted","14-Dec-2010",14957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amumu","Almost-Prom King","07-Feb-2011",15012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amumu","Hextech","26-Sep-2019",18165,0.0066,0.0088,0.0323,0.035,0.5041,0.5106,-0.0022,-0.0027,-0.00650000000000006
"Anivia","Original","09-Jul-2009",14434,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anivia","Bird of Prey","02-May-2010",14731,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anivia","Blackfrost","29-Apr-2013",15824,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anivia","Prehistoric","14-Jun-2015",16600,0.0031,0.0015,0.0372,0.0248,0.5128,0.5312,0.0016,0.0124,-0.0184
"Anivia","Festival Queen","23-Feb-2017",17220,0.005,0.0017,0.0521,0.0291,0.5625,0.5698,0.0033,0.023,-0.00729999999999997
"Anivia","Papercraft","21-Feb-2019",17948,0.0205,0.0183,0.0357,0.0299,0.5162,0.516,0.0022,0.0058,0.000199999999999978
"Anivia","Team Spirit","12-Feb-2010",14652,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anivia","Noxus Hunter","24-Aug-2010",14845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anivia","Hextech","01-Mar-2011",15034,NA,NA,NA,NA,NA,NA,NA,NA,NA
