"Champion","Name","Erscheinungsdatum","TagDate","BannrateNachher","BannrateVorher","BeliebtheitNachher","BeliebtheitVorher","GewinnrateNachher","GewinnrateVorher","DeltaBannrate","DeltaBeliebtheit","DeltaGewinnrate"
"Evelynn","Blood Moon","08-May-2018",17659,0.1407,0.1994,0.053,0.054,0.5025,0.5204,-0.0587,-0.001,-0.0179
"Evelynn","KDA","03-Nov-2018",17838,0.1617,0.2903,0.0522,0.0589,0.4985,0.5147,-0.1286,-0.0067,-0.0162
"Evelynn","Sugar Rush","17-Dec-2019",18247,0.0879,0.1393,0.0396,0.0423,0.4903,0.495,-0.0514,-0.00269999999999999,-0.00469999999999998
"Evelynn","Masquerade","17-May-2010",14746,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evelynn","Prestige KDA","18-Apr-2019",18004,0.1244,0.1229,0.0514,0.0491,0.5024,0.5076,0.0015,0.0023,-0.00520000000000009
"Ezreal","Original","16-Mar-2010",14684,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ezreal","Frosted","18-Jul-2010",14808,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ezreal","Pulsefire","29-Jun-2012",15520,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ezreal","Debonair","05-Aug-2014",16287,0.0023,0.002,0.1934,0.2046,0.476,0.4795,3e-04,-0.0112,-0.0035
"Ezreal","Ace of Spades","20-May-2015",16575,0.0016,0.0027,0.2027,0.2112,0.4731,0.4682,-0.0011,-0.00850000000000001,0.00490000000000002
"Ezreal","Arcade","24-Aug-2016",17037,0.0097,0.006,0.3072,0.266,0.4892,0.4802,0.0037,0.0412,0.00900000000000001
"Ezreal","Star Guardian","06-Sep-2017",17415,0.1153,0.0043,0.2008,0.0822,0.4812,0.4513,0.111,0.1186,0.0299
"Ezreal","Pajama Guardian","21-Nov-2018",17856,0.0379,0.0621,0.2732,0.271,0.4848,0.4526,-0.0242,0.00219999999999998,0.0322
"Ezreal","Battle Academia","15-May-2019",18031,0.1219,0.0509,0.3488,0.2162,0.4749,0.4697,0.071,0.1326,0.00519999999999998
"Ezreal","Nottingham","16-Mar-2010",14684,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ezreal","Striker","24-Jun-2010",14784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ezreal","Explorer","13-Oct-2010",14895,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ezreal","TPA","23-May-2013",15848,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ezreal","SSG","20-Jul-2018",17732,0.0324,0.0824,0.2374,0.2722,0.4649,0.4738,-0.05,-0.0348,-0.00890000000000002
"Fiddlesticks","Original","21-Feb-2009",14296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiddlesticks","Spectral","16-Mar-2010",14684,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiddlesticks","Bandito","10-Aug-2010",14831,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiddlesticks","Surprise Party","27-Oct-2011",15274,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiddlesticks","Risen","29-Apr-2015",16554,0.0984,0.1958,0.0529,0.0631,0.5179,0.5226,-0.0974,-0.0102,-0.00469999999999993
"Fiddlesticks","Praetorian","08-Nov-2018",17843,0.0553,0.0567,0.061,0.0458,0.5071,0.5049,-0.0014,0.0152,0.00219999999999998
"Fiddlesticks","Union Jack","12-Feb-2010",14652,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiddlesticks","Pumpkinhead","19-Oct-2010",14901,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiddlesticks","Fiddle Me Timbers","26-Apr-2010",14725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiddlesticks","Dark Candy","14-Dec-2012",15688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiora","Original","29-Feb-2012",15399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiora","Royal Guard","29-Feb-2012",15399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiora","Nightraven","29-Feb-2012",15399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiora","PROJECT","07-Sep-2015",16685,0.7281,0.0197,0.105,0.0471,0.5261,0.5094,0.7084,0.0579,0.0167
"Fiora","Pool Party","13-Jul-2016",16995,0.0384,0.0111,0.0835,0.0494,0.498,0.4788,0.0273,0.0341,0.0192
"Fiora","Soaring Sword","27-Sep-2017",17436,0.2534,0.2097,0.0922,0.0624,0.5002,0.4785,0.0437,0.0298,0.0217
"Fiora","Headmistress","26-Oct-2012",15639,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiora","Heartpiercer","11-Feb-2019",17938,0.0747,0.0856,0.064,0.0801,0.4742,0.4939,-0.0109,-0.0161,-0.0197
"Fiora","iG","23-Apr-2019",18009,0.0664,0.0596,0.0631,0.051,0.4953,0.4746,0.0068,0.0121,0.0207
"Fizz","Original","15-Nov-2011",15293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fizz","Atlantean","15-Nov-2011",15293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fizz","Tundra","15-Nov-2011",15293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fizz","Fisherman","01-Apr-2012",15431,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fizz","Void","06-Apr-2014",16166,0.0403,NA,0.0844,NA,0.4931,NA,NA,NA,NA
"Fizz","Cottontail","09-Aug-2015",16656,0.1963,0.072,0.1644,0.1315,0.4981,0.5049,0.1243,0.0329,-0.00680000000000003
"Fizz","Super Galaxy","25-May-2016",16946,0.4043,0.1046,0.1661,0.1593,0.4999,0.5205,0.2997,0.0068,-0.0206
"Fizz","Omega Squad","26-Jul-2017",17373,0.2342,0.4436,0.0684,0.0718,0.5059,0.502,-0.2094,-0.0034,0.00390000000000001
"Fizz","Fuzz","27-Mar-2019",17982,0.0686,0.0614,0.0607,0.0559,0.5142,0.5138,0.00719999999999999,0.0048,0.000399999999999956
"Fizz","Prestige Fuzz","27-Mar-2019",17982,0.0686,0.0614,0.0607,0.0559,0.5142,0.5138,0.00719999999999999,0.0048,0.000399999999999956
"Galio","Original","10-Aug-2010",14831,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galio","Enchanted","10-Aug-2010",14831,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galio","Commando","18-Jan-2011",14992,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galio","Gatekeeper","23-Apr-2012",15453,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galio","Debonair","13-Apr-2015",16538,0.0059,0.0052,0.0116,0.0109,0.5126,0.5066,7e-04,0.000699999999999999,0.00599999999999989
"Galio","Birdio","29-Mar-2018",17619,0.0184,0.0582,0.0402,0.1018,0.4628,0.4955,-0.0398,-0.0616,-0.0327
"Galio","Infernal","05-Sep-2019",18144,0.0076,0.0017,0.0373,0.0098,0.506,0.4502,0.0059,0.0275,0.0558
"Galio","Hextech","10-Aug-2010",14831,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gangplank","Original","18-Aug-2009",14474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gangplank","Spooky","16-Mar-2010",14684,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gangplank","Minuteman","03-Jul-2010",14793,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gangplank","Special Forces","12-Sep-2012",15595,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gangplank","Sultan","13-Nov-2013",16022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gangplank","Captain","09-Aug-2015",16656,0.0977,0.0046,0.095,0.0373,0.5117,0.477,0.0931,0.0577,0.0347000000000001
"Gangplank","Dreadnova","12-Jan-2017",17178,0.0179,0.0076,0.1425,0.0808,0.494,0.4977,0.0103,0.0617,-0.00369999999999998
"Gangplank","Pool Party","02-Aug-2018",17745,0.0491,0.0441,0.0931,0.0678,0.4899,0.492,0.005,0.0253,-0.00209999999999999
"Gangplank","Sailor","10-Jan-2011",14984,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gangplank","Toy Soldier","14-Dec-2011",15322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garen","Original","27-Apr-2010",14726,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garen","Commando","08-Sep-2010",14860,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garen","Dreadknight","18-Jan-2011",14992,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garen","Rugged","15-Aug-2011",15201,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garen","Steel Legion","01-Feb-2013",15737,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garen","Rogue Admiral","22-Jul-2015",16638,0.0078,0.0069,0.0342,0.0327,0.48,0.483,9e-04,0.0015,-0.003
"Garen","God-King","27-Jun-2018",17709,0.0341,0.0148,0.0861,0.0372,0.5141,0.4967,0.0193,0.0489,0.0174
"Garen","Demacia Vice","18-Jul-2019",18095,0.0264,0.019,0.0671,0.0504,0.5138,0.5134,0.0074,0.0167,0.000400000000000067
"Garen","Mecha Kingdoms","15-Jan-2020",18276,0.0194,0.1165,0.0541,0.0797,0.4869,0.5067,-0.0971,-0.0256,-0.0198
"Garen","Sanguine","27-Apr-2010",14726,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garen","Desert Trooper","27-Apr-2010",14726,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garen","Warring Kingdoms","19-Jan-2017",17185,0.007,0.0073,0.0289,0.0276,0.5025,0.4709,-3e-04,0.0013,0.0316
"Garen","Prestige Mecha Kingdoms","15-Jan-2020",18276,0.0194,0.1165,0.0541,0.0797,0.4869,0.5067,-0.0971,-0.0256,-0.0198
"Gnar","Original","13-Aug-2014",16295,0.0747,NA,0.0944,NA,0.4694,NA,NA,NA,NA
"Gnar","Dino","13-Aug-2014",16295,0.0747,NA,0.0944,NA,0.4694,NA,NA,NA,NA
"Gnar","Gentleman","14-Jul-2015",16630,0.0202,0.0179,0.1111,0.1233,0.4801,0.4815,0.0023,-0.0122,-0.00139999999999996
"Gnar","El León","01-Jun-2016",16953,0.0018,0.0014,0.0461,0.0375,0.4839,0.488,4e-04,0.0086,-0.00409999999999999
"Gnar","Super Galaxy","16-Oct-2017",17455,0.0366,0.0309,0.088,0.0774,0.4842,0.4887,0.0057,0.0106,-0.0045
"Gnar","Snow Day","10-Dec-2015",16779,0.0043,0.0072,0.0736,0.0906,0.4919,0.4907,-0.0029,-0.017,0.00119999999999998
"Gnar","SSG","20-Jul-2018",17732,0.0088,0.0089,0.0516,0.0278,0.4696,0.47,-9.99999999999994e-05,0.0238,-0.000399999999999956
"Gragas","Original","02-Feb-2010",14642,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gragas","Hillbilly","01-Aug-2010",14822,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gragas","Gragas, Esq.","12-Apr-2011",15076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gragas","Oktoberfest","21-Sep-2012",15604,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gragas","Gragas Caskbreaker","07-Dec-2015",16776,0.0023,0.0064,0.0397,0.0773,0.4631,0.4799,-0.0041,-0.0376,-0.0168
"Gragas","Arctic Ops","25-Jan-2018",17556,0.0015,0.0035,0.0343,0.0357,0.4573,0.446,-0.002,-0.00140000000000001,0.0113
"Gragas","Scuba","03-May-2010",14732,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gragas","Santa","14-Dec-2010",14957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gragas","Vandal","02-Mar-2012",15401,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gragas","Superfan","18-Jun-2014",16239,0.0111,0.006,0.1179,0.043,0.4855,0.4828,0.0051,0.0749,0.00269999999999998
"Gragas","Fnatic","24-Sep-2014",16337,0.0011,0.0219,0.023,0.0628,0.4471,0.4459,-0.0208,-0.0398,0.00119999999999998
"Graves","Original","19-Oct-2011",15266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graves","Hired Gun","19-Oct-2011",15266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graves","Mafia","02-Apr-2012",15432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graves","Pool Party","09-Sep-2013",15957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graves","Cutthroat","21-Jul-2015",16637,0.0025,0.0037,0.1858,0.1727,0.492,0.4899,-0.0012,0.0131,0.00209999999999999
"Graves","Praetorian","08-Nov-2018",17843,0.1157,0.3506,0.1455,0.2092,0.5029,0.5086,-0.2349,-0.0637,-0.00570000000000004
"Graves","Battle Professor","15-May-2019",18031,0.0067,0.0093,0.0502,0.0435,0.4888,0.496,-0.0026,0.0067,-0.00719999999999998
"Graves","Jailbreak","19-Oct-2011",15266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graves","Riot","16-Aug-2012",15568,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graves","Snow Day","14-Dec-2016",17149,0.0148,0.0704,0.1052,0.1103,0.4996,0.5027,-0.0556,-0.00509999999999999,-0.00310000000000005
"Graves","Victorious","08-Nov-2017",17478,0.01,0.0025,0.0736,0.0284,0.4597,0.4541,0.0075,0.0452,0.00559999999999999
"Hecarim","Original","17-Apr-2012",15447,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hecarim","Reaper","17-Apr-2012",15447,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hecarim","Arcade","21-Aug-2013",15938,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hecarim","Elderwood","25-Nov-2015",16764,0.0055,0.0035,0.0587,0.0567,0.4991,0.5196,0.002,0.002,-0.0205
"Hecarim","Worldbreaker","10-Nov-2016",17115,0.2474,0.1973,0.1267,0.0823,0.5347,0.5306,0.0501,0.0444,0.00409999999999999
"Hecarim","High Noon","10-Oct-2019",18179,0.0373,0.0686,0.0674,0.0694,0.5106,0.5132,-0.0313,-0.002,-0.00259999999999994
"Hecarim","Blood Knight","17-Apr-2012",15447,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hecarim","Headless","26-Oct-2012",15639,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hecarim","Lancer Zero","16-Aug-2017",17394,0.0066,0.0083,0.0334,0.0333,0.4877,0.5056,-0.0017,9.99999999999959e-05,-0.0179
"Heimerdinger","Original","09-Oct-2009",14526,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heimerdinger","Blast Zone","24-Jun-2010",14784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heimerdinger","Piltover Customs","22-Nov-2010",14935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heimerdinger","Hazmat","13-Jul-2014",16264,0.0032,0.0185,0.0172,0.0118,0.5056,0.4907,-0.0153,0.0054,0.0149
"Heimerdinger","Dragon Trainer","11-Oct-2018",17815,0.0103,0.0072,0.0343,0.0232,0.5206,0.5276,0.0031,0.0111,-0.00700000000000001
"Heimerdinger","Alien Invader","13-Jul-2010",14803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heimerdinger","Snowmerdinger","14-Dec-2011",15322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Illaoi","Original","24-Nov-2015",16763,0.4931,NA,0.0716,NA,0.4488,NA,NA,NA,NA
"Illaoi","Void Bringer","24-Nov-2015",16763,0.4931,NA,0.0716,NA,0.4488,NA,NA,NA,NA
"Illaoi","Resistance","15-Mar-2018",17605,0.0533,0.0951,0.039,0.0445,0.5057,0.4992,-0.0418,-0.0055,0.00650000000000006
"Irelia","Original","16-Nov-2010",14929,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irelia","Nightblade","16-Nov-2010",14929,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irelia","Aviator","16-Nov-2010",14929,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irelia","Frostblade","30-Apr-2012",15460,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irelia","Order of the Lotus","03-Jun-2015",16589,0.1096,0.1269,0.1448,0.1161,0.5199,0.5182,-0.0173,0.0287,0.00170000000000003
"Irelia","Divine Sword","04-Sep-2018",17778,0.4217,0.1657,0.1884,0.0904,0.5017,0.4689,0.256,0.098,0.0328000000000001
"Irelia","PROJECT","01-Aug-2019",18109,0.1048,0.1441,0.1257,0.137,0.4567,0.4579,-0.0393,-0.0113,-0.00119999999999998
"Irelia","Infiltrator","11-Oct-2011",15258,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irelia","iG","23-Apr-2019",18009,0.2071,0.1575,0.1632,0.1524,0.4738,0.4747,0.0496,0.0108,-0.000900000000000012
"Irelia","Prestige PROJECT","01-Aug-2019",18109,0.1048,0.1441,0.1257,0.137,0.4567,0.4579,-0.0393,-0.0113,-0.00119999999999998
"Ivern","Original","04-Oct-2016",17078,0.0238,NA,0.0382,NA,0.5105,NA,NA,NA,NA
"Ivern","Candy King","04-Oct-2016",17078,0.0238,NA,0.0382,NA,0.5105,NA,NA,NA,NA
"Ivern","Dunkmaster","04-Apr-2019",17990,0.0035,0.0166,0.0165,0.0322,0.5103,0.513,-0.0131,-0.0157,-0.00270000000000004
"Janna","Original","01-Sep-2009",14488,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janna","Frost Queen","05-Dec-2011",15313,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janna","Forecast","04-Sep-2013",15952,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janna","Star Guardian","05-Oct-2016",17079,0.0171,0.0109,0.1953,0.1667,0.5465,0.5391,0.0062,0.0286,0.00739999999999996
"Janna","Sacred Sword","27-Sep-2017",17436,0.4896,0.5382,0.238,0.2536,0.5375,0.5639,-0.0486,-0.0156,-0.0264
"Janna","Guardian of the Sands","22-Jan-2020",18283,0.0039,0.0047,0.071,0.0618,0.5183,0.5317,-8e-04,0.00919999999999999,-0.0134
"Janna","Tempest","13-Jul-2010",14803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janna","Hextech","08-Nov-2010",14921,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janna","Fnatic","24-Sep-2014",16337,0.0267,0.0022,0.2646,0.0937,0.5413,0.5407,0.0245,0.1709,0.000600000000000045
"Janna","Bewitching","24-Oct-2018",17828,0.008,0.0097,0.09,0.0809,0.5139,0.4986,-0.0017,0.0091,0.0153
"Janna","Victorious","06-Nov-2012",15650,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JarvanIV","Original","01-Mar-2011",15034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JarvanIV","Commando","01-Mar-2011",15034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JarvanIV","Dragonslayer","01-Mar-2011",15034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JarvanIV","Darkforge","26-Jul-2011",15181,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JarvanIV","Warring Kingdoms","08-Feb-2013",15744,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JarvanIV","Dark Star","01-Mar-2018",17591,0.055,0.0994,0.1381,0.1976,0.4866,0.4981,-0.0444,-0.0595,-0.0115
"JarvanIV","Fnatic","24-Sep-2014",16337,0.033,0.0324,0.2072,0.2517,0.5236,0.5278,0.000600000000000003,-0.0445,-0.00420000000000009
"JarvanIV","SSG","20-Jul-2018",17732,0.0113,0.0157,0.0747,0.071,0.491,0.4764,-0.0044,0.00370000000000001,0.0146
"JarvanIV","Victorious","14-Sep-2011",15231,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JarvanIV","Hextech","04-Apr-2019",17990,0.1263,0.0362,0.2182,0.1631,0.5153,0.5171,0.0901,0.0551,-0.00180000000000002
"Jax","Original","21-Feb-2009",14296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jax","Jaximus","10-May-2011",15104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jax","Temple","15-Nov-2011",15293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jax","Nemesis","14-Sep-2012",15597,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jax","Warden","30-Sep-2015",16708,0.0035,0.0076,0.053,0.0578,0.5051,0.4934,-0.0041,-0.0048,0.0117
"Jax","God Staff","11-Jan-2018",17542,0.0406,0.0349,0.1144,0.0959,0.493,0.4971,0.0057,0.0185,-0.00409999999999999
"Jax","Mecha Kingdoms","15-Jan-2020",18276,0.0652,0.0886,0.0907,0.0822,0.4948,0.5066,-0.0234,0.00850000000000001,-0.0118
"Jax","The Mighty","12-Feb-2010",14652,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jax","Vandal","24-Feb-2010",14664,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jax","Angler","08-Jun-2010",14768,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jax","SKT T1","04-May-2014",16194,0.7153,0.0402,0.1662,0.1581,0.5159,0.5205,0.6751,0.0081,-0.00459999999999994
"Jax","PAX","26-Mar-2010",14694,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jayce","Original","06-Jul-2012",15527,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jayce","Full Metal","06-Jul-2012",15527,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jayce","Debonair","14-Feb-2013",15750,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jayce","Forsaken","03-May-2015",16558,0.0012,0.0012,0.0395,0.0302,0.4762,0.4733,0,0.0093,0.00290000000000001
"Jayce","Jayce Brighthammer","17-Nov-2016",17122,0.1301,0.1459,0.119,0.1508,0.5225,0.5287,-0.0158,-0.0318,-0.00619999999999998
"Jayce","Battle Academia","15-May-2019",18031,0.0467,0.0623,0.0768,0.068,0.4787,0.4891,-0.0156,0.00879999999999999,-0.0104
"Jhin","Original","01-Feb-2016",16832,0.049,NA,0.1043,NA,0.4502,NA,NA,NA,NA
"Jhin","High Noon","01-Feb-2016",16832,0.049,NA,0.1043,NA,0.4502,NA,NA,NA,NA
"Jhin","Blood Moon","09-Feb-2017",17206,0.0533,0.0123,0.4174,0.2629,0.5103,0.5118,0.041,0.1545,-0.00150000000000006
"Jhin","PROJECT","22-Nov-2017",17492,0.0206,0.0026,0.2606,0.0796,0.4847,0.4861,0.018,0.181,-0.00139999999999996
"Jhin","Dark Cosmic","13-Jun-2019",18060,0.0114,0.0091,0.1248,0.1194,0.5018,0.4926,0.0023,0.00539999999999999,0.00920000000000004
"Jhin","SKT T1","27-Jun-2017",17344,0.0226,0.0012,0.2748,0.0726,0.506,0.4821,0.0214,0.2022,0.0239
"Jinx","Original","09-Oct-2013",15987,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jinx","Mafia","09-Oct-2013",15987,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jinx","Firecracker","10-Feb-2015",16476,0.0056,0.0036,0.2503,0.1824,0.5316,0.5387,0.002,0.0679,-0.0071
"Jinx","Star Guardian","05-Oct-2016",17079,0.0135,0.0058,0.2327,0.1808,0.5245,0.5319,0.0077,0.0519,-0.00740000000000007
"Jinx","Odyssey","12-Sep-2018",17786,0.0047,0.0063,0.1238,0.1325,0.5145,0.5244,-0.0016,-0.00870000000000001,-0.00990000000000002
"Jinx","PROJECT","01-Aug-2019",18109,0.0257,0.0161,0.1975,0.1597,0.5366,0.5324,0.0096,0.0378,0.00419999999999998
"Jinx","Zombie Slayer","05-Nov-2015",16744,0.0044,0.0033,0.1911,0.2462,0.5012,0.5175,0.0011,-0.0551,-0.0163
"Jinx","Ambitious Elf","12-Dec-2017",17512,0.0015,0.003,0.0693,0.0893,0.4898,0.5069,-0.0015,-0.02,-0.0171
"Jinx","Heartseeker","04-Feb-2020",18296,0.0026,0.0053,0.0936,0.0989,0.5113,0.5108,-0.0027,-0.0053,0.000499999999999945
"Kaisa","Original","07-Mar-2018",17597,0.2308,NA,0.1466,NA,0.4937,NA,NA,NA,NA
"Kaisa","Bullet Angel","07-Mar-2018",17597,0.2308,NA,0.1466,NA,0.4937,NA,NA,NA,NA
"Kaisa","KDA","03-Nov-2018",17838,0.1883,0.2296,0.323,0.3057,0.4878,0.4999,-0.0413,0.0173,-0.0121
"Kaisa","Arcade","28-Jun-2019",18075,0.0727,0.1186,0.2702,0.336,0.4946,0.4923,-0.0459,-0.0658,0.00229999999999997
"Kaisa","iG","23-Apr-2019",18009,0.0975,0.0469,0.3174,0.2306,0.4919,0.4858,0.0506,0.0868,0.00609999999999999
"Kaisa","Prestige KDA","03-Nov-2018",17838,0.1883,0.2296,0.323,0.3057,0.4878,0.4999,-0.0413,0.0173,-0.0121
"Kalista","Original","20-Nov-2014",16394,0.1398,NA,0.1757,NA,0.4123,NA,NA,NA,NA
"Kalista","Blood Moon","20-Nov-2014",16394,0.1398,NA,0.1757,NA,0.4123,NA,NA,NA,NA
"Kalista","Championship","27-Sep-2015",16705,0.0237,0.0549,0.1536,0.1073,0.4968,0.5061,-0.0312,0.0463,-0.00929999999999997
"Kalista","SKT T1","17-Aug-2016",17030,4e-04,6e-04,0.0174,0.0216,0.4536,0.4754,-2e-04,-0.0042,-0.0218
"Karma","Original","01-Feb-2011",15006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karma","Sakura","01-Feb-2011",15006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karma","Order of the Lotus","01-Oct-2014",16344,0.001,0.0028,0.0558,0.0625,0.4828,0.4838,-0.0018,-0.0067,-0.001
"Karma","Warden","30-Sep-2015",16708,3e-04,4e-04,0.0251,0.0259,0.5049,0.499,-1e-04,-0.000799999999999999,0.00590000000000002
"Karma","Dark Star","13-Jun-2019",18060,0.0781,0.0052,0.1779,0.0758,0.5067,0.4881,0.0729,0.1021,0.0186000000000001
"Karma","Sun Goddess","01-Feb-2011",15006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karma","Traditional","29-Mar-2013",15793,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karma","Winter Wonder","14-Dec-2016",17149,0.0061,0.0137,0.1845,0.1808,0.4947,0.5009,-0.0076,0.00370000000000001,-0.00620000000000004
"Karma","Conqueror","23-Apr-2017",17279,0.0134,0.004,0.2093,0.1502,0.5306,0.4928,0.0094,0.0591,0.0377999999999999
"Karma","Dawnbringer","12-Dec-2019",18242,0.0036,0.0045,0.0571,0.0483,0.4859,0.4806,-9e-04,0.0088,0.00529999999999997
"Karthus","Original","11-Jun-2009",14406,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karthus","Statue of Karthus","03-Jul-2010",14793,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karthus","Grim Reaper","26-Sep-2010",14878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karthus","Pentakill","29-Aug-2011",15215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karthus","Karthus Lightsbane","17-Nov-2016",17122,0.0012,0.0011,0.0214,0.0226,0.5576,0.6083,9.99999999999998e-05,-0.0012,-0.0507
"Karthus","Phantom","13-Jan-2010",14622,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karthus","Fnatic","24-Sep-2014",16337,0.001,0.0024,0.0191,0.0207,0.5225,0.506,-0.0014,-0.0016,0.0165
"Kassadin","Original","06-Aug-2009",14462,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kassadin","Pre-Void","26-Sep-2010",14878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kassadin","Harbinger","13-Jul-2011",15168,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kassadin","Cosmic Reaver","14-Oct-2015",16722,0.0069,7e-04,0.0812,0.0206,0.4703,0.4646,0.0062,0.0606,0.00569999999999998
